id,url,longitude,latitude,found
airbnb19278307,https://www.airbnb.es/rooms/19278307,-1.785844935467121,42.68266784083145,2017-08-14 22:49:47.241000
airbnb19468517,https://www.airbnb.es/rooms/19468517,-1.7917309690167902,42.68053612222889,2017-08-14 22:49:31.513000
airbnb482968,https://www.airbnb.es/rooms/482968,-1.789264228848614,42.678648990563794,2017-08-14 22:49:39.493000
airbnb18906644,https://www.airbnb.es/rooms/18906644,-1.8169466876548872,42.67117616117709,2017-08-14 22:49:35.316000
airbnb18268496,https://www.airbnb.es/rooms/18268496,-1.8171278096790326,42.671622702914,2017-08-14 22:49:31.513000
airbnb18959046,https://www.airbnb.es/rooms/18959046,-1.8161390969001627,42.6719861730518,2017-08-14 22:49:39.494000
airbnb17543140,https://www.airbnb.es/rooms/17543140,-1.8139206152976068,42.67034286248204,2017-08-14 22:49:31.514000
airbnb15867576,https://www.airbnb.es/rooms/15867576,-1.8101072749186033,42.676736306617286,2017-08-14 22:49:31.512000
airbnb6414520,https://www.airbnb.es/rooms/6414520,-1.8131194309927818,42.673913302665426,2017-08-14 22:49:39.493000
airbnb17985693,https://www.airbnb.es/rooms/17985693,-1.7618817991332378,42.7079665327301,2017-08-14 22:49:31.513000
airbnb20408511,https://www.airbnb.es/rooms/20408511,-1.7602393477175302,42.70939256445823,2017-08-14 22:49:31.514000
airbnb12896295,https://www.airbnb.es/rooms/12896295,-1.8255270937389183,42.78005797619016,2017-08-14 22:50:13.548000
airbnb17785208,https://www.airbnb.es/rooms/17785208,-1.8086764196075282,42.84782304100395,2017-08-14 22:50:09.504000
airbnb10787533,https://www.airbnb.es/rooms/10787533,-1.7892423642626545,42.833282475419665,2017-08-14 22:50:21.196000
airbnb4169986,https://www.airbnb.es/rooms/4169986,-1.7888051410030914,42.83217437316421,2017-08-14 22:50:21.196000
airbnb2370785,https://www.airbnb.es/rooms/2370785,-1.787407747644075,42.83213429197194,2017-08-14 22:50:17.307000
airbnb10724291,https://www.airbnb.es/rooms/10724291,-1.7873233614350628,42.83222703061339,2017-08-14 22:50:13.548000
airbnb10804677,https://www.airbnb.es/rooms/10804677,-1.7876840470589475,42.83329284260967,2017-08-14 22:50:17.307000
airbnb3053704,https://www.airbnb.es/rooms/3053704,-1.7809229356430105,42.84564650324118,2017-08-14 22:50:09.506000
airbnb6325547,https://www.airbnb.es/rooms/6325547,-1.7792058215025859,42.846760561052626,2017-08-14 22:50:09.505000
airbnb2781092,https://www.airbnb.es/rooms/2781092,-1.7796189189215272,42.8471581505966,2017-08-14 22:50:17.306000
airbnb17253020,https://www.airbnb.es/rooms/17253020,-1.772726661270338,42.80383042603131,2017-08-14 22:50:13.548000
